TSP_SRT_Tome3_WEB-59.jpeg,8,"(128, 0, 0)","(255, 69, 0)",61,21972210,778941,0.04,1
7750-65.jpeg,20,"(255, 250, 250)","(230, 230, 250)",2217,24171498,2950452,0.12,1
JWSTScienceFunPad-11.jpeg,5,"(47, 79, 79)","(255, 250, 250)",500,11687500,4317382,0.37,1
TSP_SRT_Tome3_WEB-25.jpeg,15,"(47, 79, 79)","(245, 255, 250)",3,21972210,0,0.0,1
WebbMediaKit-7.jpeg,7,"(47, 79, 79)","(112, 128, 144)",139,23375000,650181,0.03,1
HADOPI_RA_2014-2015-99.jpeg,18,"(47, 79, 79)","(85, 107, 47)",213,21972210,9310421,0.42,1
plan-actions-climat-energie-bd-69.jpeg,42,"(230, 230, 250)","(250, 240, 230)",2870,24171498,7521482,0.31,1
plan-actions-climat-energie-bd-26.jpeg,37,"(255, 250, 250)","(230, 230, 250)",2113,24171498,6097493,0.25,1
guide_plan_climat_energie_albi_1-16.jpeg,40,"(245, 255, 250)","(255, 250, 250)",1499,24177345,7542694,0.31,1
7750-136.jpeg,30,"(255, 250, 250)","(250, 240, 230)",1851,24171498,3541920,0.15,1
plan-actions-climat-energie-bd-40.jpeg,21,"(255, 250, 250)","(72, 61, 139)",646,24171498,2711381,0.11,1
JWSTScienceFunPad-10.jpeg,5,"(255, 250, 250)","(230, 230, 250)",258,11687500,7288750,0.62,1
guide_plan_climat_energie_albi_1-71.jpeg,23,"(102, 205, 170)","(224, 255, 255)",88,24177345,0,0.0,1
adapter_son_territoire_au_changement_climatique_Guide-55.jpeg,12,"(50, 205, 50)","(60, 179, 113)",316,17790880,435498,0.02,1
plan-actions-climat-energie-bd-20.jpeg,31,"(255, 250, 250)","(230, 230, 250)",2542,24171498,7559336,0.31,1
TSP_SRT_Tome3_WEB-21.jpeg,25,"(255, 250, 250)","(250, 240, 230)",2139,21972210,7786649,0.35,1
guide_plan_climat_energie_albi_1-80.jpeg,29,"(245, 255, 250)","(255, 250, 250)",747,24177345,4771332,0.2,1
data_detection_images_1-8.jpeg,10,"(255, 250, 250)","(248, 248, 255)",367,23375000,3667568,0.16,1
HADOPI_RA_2014-2015-28.jpeg,3,"(65, 105, 225)","(100, 149, 237)",35,21972210,1341915,0.06,1
data_detection_images_1-5.jpeg,19,"(255, 250, 250)","(248, 248, 255)",113,23375000,9657004,0.41,1
WebbMediaKit-21.jpeg,10,"(47, 79, 79)","(230, 230, 250)",1116,23375000,9074115,0.39,1
JWSTScienceFunPad-40.jpeg,4,"(255, 250, 250)","(230, 230, 250)",397,11687500,6019708,0.52,1
plan-actions-climat-energie-bd-34.jpeg,29,"(47, 79, 79)","(230, 230, 250)",1790,24171498,7794144,0.32,1
vol1_gicc-24.jpeg,3,"(255, 250, 250)","(230, 230, 250)",1144,24163936,0,0.0,1
WebbMediaKit-10.jpeg,20,"(255, 250, 250)","(47, 79, 79)",881,23375000,8302772,0.36,1
guide_plan_climat_energie_albi_1-14.jpeg,31,"(255, 250, 250)","(245, 255, 250)",897,24177345,3663921,0.15,1
Apple_SR_2020_Progress_Report_FR-31.jpeg,49,"(47, 79, 79)","(85, 107, 47)",202,23375000,20778795,0.89,1
adapter_son_territoire_au_changement_climatique_Guide-11.jpeg,38,"(143, 188, 143)","(230, 230, 250)",1788,17790880,5847645,0.33,1
immobilier Upside L'atelier  2-4.jpeg,18,"(255, 250, 250)","(176, 196, 222)",1695,24171498,5045153,0.21,1
JWSTScienceFunPad-22.jpeg,4,"(255, 250, 250)","(230, 230, 250)",93,11687500,6697844,0.57,1
Risques et pollution programme immo Argenteuil-1.jpeg,7,"(255, 250, 250)","(47, 79, 79)",942,24171498,7830249,0.32,1
JWSTScienceFunPad-17.jpeg,5,"(255, 250, 250)","(47, 79, 79)",60,11687500,219943,0.02,1
WebbMediaKit-40.jpeg,11,"(47, 79, 79)","(230, 230, 250)",2011,23375000,13400806,0.57,1
JWSTScienceFunPad-21.jpeg,4,"(255, 250, 250)","(230, 230, 250)",121,11687500,3200465,0.27,1
adaptation-changement-climatique-fiches-collectivites-19.jpeg,34,"(47, 79, 79)","(135, 206, 235)",2179,24175632,9951911,0.41,1
HADOPI_RA_2014-2015-125.jpeg,9,"(85, 107, 47)","(47, 79, 79)",21,21972210,15418500,0.7,1
Diagnostics programme immo L'Etang la ville-5.jpeg,8,"(255, 250, 250)","(248, 248, 255)",1275,24171498,5030226,0.21,1
HADOPI_RA_2014-2015-27.jpeg,17,"(47, 79, 79)","(119, 136, 153)",3,21972210,21961580,1.0,1
rapport_d_activite_2021_de_la_direction_generale_des_entreprises-7.jpeg,54,"(230, 230, 250)","(205, 133, 63)",2412,21972210,11722580,0.53,1
JWSTScienceFunPad-4.jpeg,5,"(255, 250, 250)","(230, 230, 250)",394,11687500,6960654,0.6,1
WebbMediaKit-9.jpeg,25,"(47, 79, 79)","(255, 250, 250)",1110,23375000,5713271,0.24,1
etat_des_lieux_des_connaissances__cle069e48-6.jpeg,34,"(230, 230, 250)","(248, 248, 255)",666,24163936,7010216,0.29,1
TSP_SRT_Tome3_WEB-58.jpeg,8,"(128, 0, 0)","(178, 34, 34)",16,21972210,5311680,0.24,1
data_detection_images_1-10.jpeg,28,"(255, 250, 250)","(245, 255, 250)",272,23375000,7274249,0.31,1
guide_plan_climat_energie_albi_1-0.jpeg,38,"(46, 139, 87)","(47, 79, 79)",57,24177345,25587988,1.06,1
HADOPI_RA_2014-2015-45.jpeg,22,"(255, 250, 250)","(248, 248, 255)",1790,21972210,2516961,0.11,1
WebbMediaKit-17.jpeg,18,"(47, 79, 79)","(135, 206, 235)",91,23375000,5385909,0.23,1
HADOPI_RA_2014-2015-6.jpeg,5,"(60, 179, 113)","(143, 188, 143)",18,21972210,727819,0.03,1
Apple_SR_2020_Progress_Report_FR-29.jpeg,33,"(230, 230, 250)","(47, 79, 79)",685,23375000,7626178,0.33,1
7750-132.jpeg,38,"(255, 250, 250)","(255, 255, 240)",572,24171498,1791949,0.07,1
HADOPI_RA_2014-2015-75.jpeg,36,"(255, 250, 250)","(230, 230, 250)",1445,21972210,6858857,0.31,1
adaptation-changement-climatique-fiches-collectivites-9.jpeg,37,"(135, 206, 235)","(230, 230, 250)",1974,24175632,5780507,0.24,1
JWSTScienceFunPad-26.jpeg,3,"(255, 250, 250)","(230, 230, 250)",123,11687500,4209103,0.36,1
Apple_SR_2020_Progress_Report_FR-63.jpeg,26,"(230, 230, 250)","(47, 79, 79)",1178,23375000,8774940,0.38,1
plan-actions-climat-energie-bd-80.jpeg,24,"(255, 250, 250)","(250, 240, 230)",1891,24171498,7835548,0.32,1
JWSTScienceFunPad-6.jpeg,3,"(255, 250, 250)","(230, 230, 250)",434,11687500,3467453,0.3,1
Apple_SR_2020_Progress_Report_FR-55.jpeg,17,"(47, 79, 79)","(46, 139, 87)",3,23375000,0,0.0,1
data_detection_images_1-20.jpeg,4,"(255, 250, 250)","(230, 230, 250)",2582,23375000,5770747,0.25,1
ONERC_Rapport_2010_villes_et_adaptation-30.jpeg,9,"(255, 250, 250)","(230, 230, 250)",2533,24175632,4104713,0.17,1
data_detection_images_1-22.jpeg,39,"(210, 180, 140)","(119, 136, 153)",342,23375000,0,0.0,1
plan-actions-climat-energie-bd-5.jpeg,32,"(218, 165, 32)","(255, 250, 250)",665,24171498,6045186,0.25,1
plan-actions-climat-energie-bd-22.jpeg,27,"(250, 240, 230)","(230, 230, 250)",3015,24171498,3555161,0.15,1
HADOPI_RA_2014-2015-126.jpeg,6,"(186, 85, 211)","(221, 160, 221)",38,21972210,1333876,0.06,1
Apple_SR_2020_Progress_Report_FR-22.jpeg,33,"(230, 230, 250)","(47, 79, 79)",970,23375000,14421562,0.62,1
data_detection_images_1-31.jpeg,15,"(248, 248, 255)","(255, 250, 250)",800,23375000,3133816,0.13,1
Apple_SR_2020_Progress_Report_FR-7.jpeg,19,"(47, 79, 79)","(119, 136, 153)",53,23375000,20796551,0.89,1
plan-actions-climat-energie-bd-104.jpeg,12,"(230, 230, 250)","(119, 136, 153)",1578,24171498,6577305,0.27,1
JWSTScienceFunPad-12.jpeg,5,"(255, 250, 250)","(47, 79, 79)",402,11687500,3283331,0.28,1
plan-actions-climat-energie-bd-39.jpeg,37,"(250, 240, 230)","(230, 230, 250)",2282,24171498,5634519,0.23,1
plan-actions-climat-energie-bd-17.jpeg,17,"(72, 209, 204)","(240, 255, 255)",702,24171498,6324286,0.26,1
HADOPI_RA_2014-2015-68.jpeg,19,"(255, 250, 250)","(230, 230, 250)",3607,21972210,2600390,0.12,1
ONERC_Rapport_2010_villes_et_adaptation-0.jpeg,42,"(0, 0, 255)","(0, 128, 0)",293,24175632,25224331,1.04,1
immobilier Upside L'atelier -13.jpeg,7,"(255, 250, 250)","(230, 230, 250)",467,24171498,8101005,0.34,1
adapter_son_territoire_au_changement_climatique_Guide-9.jpeg,24,"(176, 196, 222)","(119, 136, 153)",3,17790880,17790880,1.0,1
HADOPI_RA_2014-2015-100.jpeg,8,"(107, 142, 35)","(189, 183, 107)",52,21972210,2351963,0.11,1
210913_VILLE DE PARIS_diag de vulnerabi_synthese 53web VF MODIFIEE-10.jpeg,37,"(230, 230, 250)","(160, 82, 45)",3473,24171498,11421200,0.47,1
immobilier Upside L'atelier -7.jpeg,3,"(255, 250, 250)","(230, 230, 250)",1568,24171498,7953913,0.33,1
plan-actions-climat-energie-bd-27.jpeg,17,"(255, 250, 250)","(245, 255, 250)",1118,24171498,6523637,0.27,1
HADOPI_RA_2014-2015-17.jpeg,18,"(119, 136, 153)","(47, 79, 79)",3,21972210,0,0.0,1
Apple_SR_2020_Progress_Report_FR-75.jpeg,15,"(230, 230, 250)","(119, 136, 153)",38,23375000,21121804,0.9,1
Apple_SR_2020_Progress_Report_FR-41.jpeg,18,"(47, 79, 79)","(25, 25, 112)",3,23375000,19388500,0.83,1
plan-actions-climat-energie-bd-66.jpeg,11,"(255, 250, 250)","(47, 79, 79)",156,24171498,2086064,0.09,1
Apple_SR_2020_Progress_Report_FR-59.jpeg,59,"(119, 136, 153)","(72, 61, 139)",112,23375000,68083,0.0,1
JWSTScienceFunPad-5.jpeg,4,"(255, 250, 250)","(230, 230, 250)",792,11687500,4928385,0.42,1
HADOPI_RA_2014-2015-136.jpeg,28,"(255, 250, 250)","(245, 255, 250)",814,21972210,4122681,0.19,1
ONERC_Rapport_2010_villes_et_adaptation-121.jpeg,20,"(47, 79, 79)","(255, 250, 250)",840,24175632,9149820,0.38,1
guide_plan_climat_energie_albi_1-78.jpeg,15,"(255, 250, 250)","(250, 240, 230)",351,24177345,7842351,0.32,1
ONERC_Rapport_2010_villes_et_adaptation-125.jpeg,25,"(255, 250, 250)","(248, 248, 255)",2519,24175632,3708671,0.15,1
Diagnostics programme immo L'Etang la ville-16.jpeg,7,"(255, 250, 250)","(230, 230, 250)",1184,24171498,2399048,0.1,1
adaptation-changement-climatique-fiches-collectivites-23.jpeg,37,"(135, 206, 235)","(175, 238, 238)",2490,24175632,9450498,0.39,1
WebbMediaKit-8.jpeg,6,"(47, 79, 79)","(230, 230, 250)",1503,23375000,14146006,0.61,1
adapter_son_territoire_au_changement_climatique_Guide-50.jpeg,27,"(245, 255, 250)","(255, 250, 250)",1138,17790880,5309187,0.3,1
plan-actions-climat-energie-bd-116.jpeg,18,"(255, 250, 250)","(230, 230, 250)",1273,24171498,6515661,0.27,1
ONERC_Rapport_2010_villes_et_adaptation-94.jpeg,19,"(255, 250, 250)","(230, 230, 250)",1225,24175632,8736794,0.36,1
JWSTScienceFunPad-8.jpeg,4,"(255, 250, 250)","(230, 230, 250)",549,11687500,3530688,0.3,1
210913_VILLE DE PARIS_diag de vulnerabi_synthese 53web VF MODIFIEE-18.jpeg,43,"(143, 188, 143)","(245, 245, 220)",2938,24171498,14994505,0.62,1
guide_plan_climat_energie_albi_1-21.jpeg,33,"(255, 250, 250)","(230, 230, 250)",996,24177345,6538268,0.27,1
guide_plan_climat_energie_albi_1-12.jpeg,28,"(245, 255, 250)","(255, 250, 250)",1028,24177345,6189674,0.26,1
JWSTScienceFunPad-16.jpeg,3,"(255, 250, 250)","(230, 230, 250)",74,11687500,7102922,0.61,1
immobilier Upside L'atelier -4.jpeg,23,"(255, 250, 250)","(245, 255, 250)",1751,24171498,6070863,0.25,1
TSP_SRT_Tome3_WEB-0.jpeg,31,"(188, 143, 143)","(255, 250, 250)",197,21972210,18249751,0.83,1
Risques et pollution programme immo Gardenia-3.jpeg,5,"(255, 250, 250)","(230, 230, 250)",1505,24171498,6698988,0.28,1
immobilier Upside L'atelier -12.jpeg,22,"(255, 250, 250)","(245, 255, 250)",602,24171498,5964202,0.25,1
TSP_SRT_Tome3_WEB-19.jpeg,27,"(230, 230, 250)","(255, 250, 250)",2399,21972210,6247112,0.28,1
WebbMediaKit-49.jpeg,44,"(47, 79, 79)","(135, 206, 250)",17,23375000,442081,0.02,1
JWSTScienceFunPad-39.jpeg,3,"(255, 250, 250)","(230, 230, 250)",60,11687500,5519335,0.47,1
TSP_SRT_Tome3_WEB-17.jpeg,19,"(47, 79, 79)","(119, 136, 153)",36,21972210,21973392,1.0,1
guide_plan_climat_energie_albi_1-7.jpeg,24,"(102, 205, 170)","(224, 255, 255)",110,24177345,406637,0.02,1
7750-6.jpeg,22,"(245, 222, 179)","(255, 250, 250)",183,24171498,6459799,0.27,1
plan-actions-climat-energie-bd-42.jpeg,27,"(230, 230, 250)","(47, 79, 79)",2464,24171498,5923010,0.25,1
adaptation-changement-climatique-fiches-collectivites-24.jpeg,34,"(135, 206, 235)","(47, 79, 79)",1384,24175632,9014403,0.37,1
JWSTScienceFunPad-15.jpeg,3,"(255, 250, 250)","(230, 230, 250)",61,11687500,204609,0.02,1
HADOPI_RA_2014-2015-138.jpeg,22,"(255, 250, 250)","(248, 248, 255)",964,21972210,3595193,0.16,1
JWSTScienceFunPad-33.jpeg,5,"(255, 250, 250)","(230, 230, 250)",240,11687500,5700412,0.49,1
Apple_SR_2020_Progress_Report_FR-12.jpeg,32,"(47, 79, 79)","(255, 250, 250)",954,23375000,14247632,0.61,1
immobilier Upside L'atelier -17.jpeg,4,"(230, 230, 250)","(248, 248, 255)",3,24171498,18189372,0.75,1
HADOPI_RA_2014-2015-80.jpeg,40,"(255, 250, 250)","(245, 255, 250)",949,21972210,4718644,0.21,1
JWSTScienceFunPad-45.jpeg,5,"(47, 79, 79)","(255, 250, 250)",595,11687500,5539832,0.47,1
guide_plan_climat_energie_albi_1-81.jpeg,35,"(60, 179, 113)","(102, 205, 170)",126,24177345,14482639,0.6,1
JWSTScienceFunPad-37.jpeg,3,"(255, 250, 250)","(230, 230, 250)",184,11687500,4187586,0.36,1
JWSTScienceFunPad-19.jpeg,4,"(255, 250, 250)","(230, 230, 250)",243,11687500,3797812,0.32,1
data_detection_images_1-24.jpeg,6,"(255, 250, 250)","(248, 248, 255)",1347,23375000,4884132,0.21,1
WebbMediaKit-14.jpeg,15,"(47, 79, 79)","(70, 130, 180)",506,23375000,8922507,0.38,1
TSP_SRT_Tome3_WEB-9.jpeg,16,"(47, 79, 79)","(119, 136, 153)",57,21972210,0,0.0,1
JWSTScienceFunPad-24.jpeg,4,"(255, 250, 250)","(230, 230, 250)",161,11687500,1359844,0.12,1
210913_VILLE DE PARIS_diag de vulnerabi_synthese 53web VF MODIFIEE-21.jpeg,37,"(47, 79, 79)","(123, 104, 238)",1429,24171498,19165303,0.79,1
WebbMediaKit-38.jpeg,17,"(47, 79, 79)","(255, 250, 250)",1962,23375000,12088849,0.52,1
Apple_SR_2020_Progress_Report_FR-32.jpeg,20,"(47, 79, 79)","(119, 136, 153)",1143,23375000,14601776,0.62,1
7750-16.jpeg,20,"(245, 222, 179)","(255, 250, 250)",181,24171498,6438699,0.27,1
HADOPI_RA_2014-2015-137.jpeg,29,"(255, 250, 250)","(248, 248, 255)",1238,21972210,4938947,0.22,1
immobilier Upside L'atelier -14.jpeg,14,"(255, 250, 250)","(173, 216, 230)",357,24171498,255470,0.01,1
plan-actions-climat-energie-bd-94.jpeg,11,"(255, 250, 250)","(47, 79, 79)",1067,24171498,4423883,0.18,1
TSP_SRT_Tome3_WEB-49.jpeg,21,"(47, 79, 79)","(255, 250, 250)",1645,21972210,6286903,0.29,1
adapter_son_territoire_au_changement_climatique_Guide-52.jpeg,34,"(47, 79, 79)","(245, 222, 179)",1526,17790880,8059493,0.45,1
adaptation-changement-climatique-fiches-collectivites-18.jpeg,52,"(135, 206, 235)","(100, 149, 237)",1426,24175632,14332458,0.59,1
ONERC_Rapport_2010_villes_et_adaptation-98.jpeg,14,"(230, 230, 250)","(248, 248, 255)",2545,24175632,13260502,0.55,1
HADOPI_RA_2014-2015-70.jpeg,23,"(255, 250, 250)","(230, 230, 250)",2229,21972210,3924827,0.18,1
plan-actions-climat-energie-bd-61.jpeg,25,"(255, 250, 250)","(222, 184, 135)",611,24171498,6309805,0.26,1
TSP_SRT_Tome3_WEB-33.jpeg,40,"(47, 79, 79)","(119, 136, 153)",3,21972210,19358640,0.88,1
plan-actions-climat-energie-bd-107.jpeg,26,"(230, 230, 250)","(255, 250, 250)",2277,24171498,4169660,0.17,1
JWSTScienceFunPad-41.jpeg,3,"(255, 250, 250)","(230, 230, 250)",311,11687500,5111302,0.44,1
WebbMediaKit-31.jpeg,9,"(47, 79, 79)","(255, 250, 250)",1562,23375000,9259936,0.4,1
etat_des_lieux_des_connaissances__cle069e48-7.jpeg,22,"(248, 248, 255)","(230, 230, 250)",323,24163936,14776645,0.61,1
Apple_SR_2020_Progress_Report_FR-84.jpeg,22,"(47, 79, 79)","(255, 250, 250)",812,23375000,14508043,0.62,1
CPCNRS-orionjwst-FRweb-3.jpeg,23,"(47, 79, 79)","(255, 250, 250)",1678,24177345,7855957,0.32,1
WebbMediaKit-29.jpeg,4,"(47, 79, 79)","(85, 107, 47)",16,23375000,21129138,0.9,1
7750-0.jpeg,42,"(222, 184, 135)","(210, 180, 140)",185,24171498,16608713,0.69,1
ONERC_Rapport_2010_villes_et_adaptation-39.jpeg,24,"(255, 250, 250)","(248, 248, 255)",1166,24175632,14701419,0.61,1
adapter_son_territoire_au_changement_climatique_Guide-1.jpeg,18,"(188, 143, 143)","(173, 216, 230)",3,17790880,0,0.0,1
