DocumentName,Number_of_caracter,Area_of_letter,Area_of_word,Proportion_of_area_letter,Proportion_of_area_word
2-0.jpeg,3049,4880487,6045454,0.20879088770053475,0.25862904812834225
2-1.jpeg,3456,3370289,4919885,0.14418348663101604,0.21047636363636363
2-2.jpeg,1137,2135758,2615671,0.09136932620320856,0.11190036363636363
2-3.jpeg,2339,4014265,4978865,0.17173326203208555,0.21299957219251336
2-4.jpeg,1647,3243688,3944234,0.1387674010695187,0.1687372834224599
2-5.jpeg,2931,2119718,2794116,0.09068312299465241,0.1195343743315508
2-6.jpeg,1581,1940356,2474914,0.08300988235294118,0.10587867379679144
data_detection_images_1-0.jpeg,2476,1880402,2167849,0.08044500534759358,0.09274220320855615
data_detection_images_1-1.jpeg,2638,3090862,2664622,0.13222939037433154,0.11399452406417113
data_detection_images_1-10.jpeg,226,6998887,7353856,0.2994176256684492,0.3146034652406417
data_detection_images_1-11.jpeg,1630,2132961,1936528,0.09124966844919787,0.08284611764705882
data_detection_images_1-12.jpeg,3423,3521464,3173819,0.15065086631016042,0.13577835294117646
data_detection_images_1-13.jpeg,1527,1322840,1620885,0.05659208556149733,0.06934267379679145
data_detection_images_1-14.jpeg,2826,13071728,12574166,0.5592183101604278,0.5379322352941176
data_detection_images_1-15.jpeg,1565,5965438,7632431,0.25520590374331553,0.32652111229946523
data_detection_images_1-16.jpeg,2185,4232362,4755044,0.18106361497326204,0.2034243422459893
data_detection_images_1-17.jpeg,1033,2187855,2316259,0.09359807486631017,0.09909129411764706
data_detection_images_1-18.jpeg,3930,13914134,13189513,0.5952570695187166,0.5642572406417112
data_detection_images_1-19.jpeg,4413,2243836,3233560,0.09599298395721925,0.13833411764705883
data_detection_images_1-2.jpeg,2426,2193070,1983313,0.09382117647058824,0.08484761497326203
data_detection_images_1-20.jpeg,2527,6200408,7468317,0.2652580962566845,0.319500192513369
data_detection_images_1-21.jpeg,4017,1983094,2686898,0.08483824598930481,0.11494750802139038
data_detection_images_1-22.jpeg,365,0,524641,0.0,0.02244453475935829
data_detection_images_1-23.jpeg,1053,964100,1266639,0.041244919786096255,0.05418776470588235
data_detection_images_1-24.jpeg,1211,7289716,7522802,0.3118595080213904,0.3218311016042781
data_detection_images_1-25.jpeg,1168,3728686,3519466,0.15951597860962566,0.15056539037433156
data_detection_images_1-26.jpeg,279,605864,658513,0.02591931550802139,0.028171679144385026
data_detection_images_1-27.jpeg,1040,3509909,3588607,0.15015653475935828,0.15352329411764706
data_detection_images_1-28.jpeg,807,992666,1000527,0.042466994652406415,0.04280329411764706
data_detection_images_1-29.jpeg,1656,4102571,3923115,0.1755110588235294,0.16783379679144386
data_detection_images_1-3.jpeg,1923,2557687,2156147,0.10941976470588236,0.09224158288770054
data_detection_images_1-30.jpeg,574,756525,763657,0.03236470588235294,0.03266981818181818
data_detection_images_1-31.jpeg,794,2869640,2883035,0.12276534759358289,0.12333839572192513
data_detection_images_1-32.jpeg,1286,3280458,3341864,0.14034044919786096,0.14296744385026738
data_detection_images_1-33.jpeg,711,892894,968288,0.03819867379679144,0.04142408556149733
data_detection_images_1-34.jpeg,1233,2751686,2696000,0.1177191871657754,0.11533689839572192
data_detection_images_1-35.jpeg,1273,3835226,3854456,0.16407383957219251,0.16489651336898395
data_detection_images_1-36.jpeg,535,704303,726343,0.03013060962566845,0.03107349732620321
data_detection_images_1-37.jpeg,537,593358,767965,0.02538429946524064,0.032854117647058825
data_detection_images_1-38.jpeg,1588,3033982,2873091,0.12979602139037433,0.12291298395721925
data_detection_images_1-39.jpeg,4228,5602617,5213520,0.2396841497326203,0.22303828877005347
data_detection_images_1-4.jpeg,1580,1474350,1318190,0.06307379679144386,0.056393155080213905
data_detection_images_1-40.jpeg,1758,2103597,1916244,0.08999345454545454,0.08197835294117647
data_detection_images_1-41.jpeg,5073,6969516,6315083,0.29816111229946524,0.27016397860962565
data_detection_images_1-42.jpeg,2715,1891483,2571115,0.08091905882352941,0.10999422459893048
data_detection_images_1-43.jpeg,2557,1737864,2478402,0.0743471229946524,0.10602789304812835
data_detection_images_1-44.jpeg,334,362900,386552,0.015525133689839573,0.01653698395721925
data_detection_images_1-45.jpeg,2628,1965139,2749852,0.08407011764705882,0.11764072727272727
data_detection_images_1-5.jpeg,117,9624356,9672222,0.4117371550802139,0.4137848983957219
data_detection_images_1-6.jpeg,93,1396032,2035771,0.05972329411764706,0.08709180748663102
data_detection_images_1-7.jpeg,99,4941530,4932151,0.21140235294117646,0.21100111229946525
data_detection_images_1-8.jpeg,321,3652184,3732235,0.15624316577540107,0.159667807486631
data_detection_images_1-9.jpeg,60,75968,4543927,0.0032499679144385027,0.19439259893048128
Diagnostics programme immo L'Etang la ville-0.jpeg,2472,2771866,3268602,0.11467497794303026,0.13522546265026686
Diagnostics programme immo L'Etang la ville-1.jpeg,1152,1713922,1660168,0.07090673486599797,0.06868287600545071
Diagnostics programme immo L'Etang la ville-10.jpeg,634,485971,593218,0.020105125466365385,0.024542045346134526
Diagnostics programme immo L'Etang la ville-11.jpeg,879,2538535,2647076,0.10502183191128658,0.10951228591624732
Diagnostics programme immo L'Etang la ville-12.jpeg,1387,2391081,2639993,0.09892150664389936,0.1092192548430387
Diagnostics programme immo L'Etang la ville-13.jpeg,372,495026,454318,0.02047974022958776,0.018795607951149738
Diagnostics programme immo L'Etang la ville-14.jpeg,2109,4148733,4548380,0.17163739706988784,0.18817120891721315
Diagnostics programme immo L'Etang la ville-15.jpeg,303,356082,342294,0.014731482508862297,0.014161058615399012
Diagnostics programme immo L'Etang la ville-16.jpeg,1258,1270711,1677613,0.052570635051249204,0.06940459379058758
Diagnostics programme immo L'Etang la ville-17.jpeg,573,523285,592375,0.021648844436534302,0.024507169559784835
Diagnostics programme immo L'Etang la ville-18.jpeg,4465,3496170,4352529,0.14464018738102205,0.1800686494482055
Diagnostics programme immo L'Etang la ville-19.jpeg,1432,1052422,1269792,0.04353979219657797,0.05253261506589289
Diagnostics programme immo L'Etang la ville-2.jpeg,1948,1482766,1983169,0.06134357084529887,0.08204576315460466
Diagnostics programme immo L'Etang la ville-20.jpeg,5166,4365538,5104232,0.18060684530185098,0.2111673839991216
Diagnostics programme immo L'Etang la ville-21.jpeg,504,332643,5144781,0.013761786712598449,0.21284493828226947
Diagnostics programme immo L'Etang la ville-22.jpeg,5339,4056932,5275998,0.16783949426717368,0.2182735219803092
Diagnostics programme immo L'Etang la ville-23.jpeg,7271,4801130,7425255,0.19862773916618656,0.30719051835347566
Diagnostics programme immo L'Etang la ville-24.jpeg,7164,4613912,6982095,0.19088233588170664,0.2888565284617445
Diagnostics programme immo L'Etang la ville-25.jpeg,6379,4342832,6298326,0.17966747447758513,0.2605682941123467
Diagnostics programme immo L'Etang la ville-26.jpeg,7332,5263703,7320997,0.21776486504891007,0.30287725651095354
Diagnostics programme immo L'Etang la ville-27.jpeg,8278,5323629,8270462,0.22024406596562612,0.34215761058747785
Diagnostics programme immo L'Etang la ville-28.jpeg,7200,5255577,7317186,0.21742868398143964,0.3027195914791876
Diagnostics programme immo L'Etang la ville-29.jpeg,6599,4554054,6609496,0.1884059481956807,0.2734417204924577
Diagnostics programme immo L'Etang la ville-3.jpeg,1021,771567,873473,0.03192052888075038,0.03613648603822568
Diagnostics programme immo L'Etang la ville-30.jpeg,6448,4288479,6367254,0.177418834364341,0.2634199171271884
Diagnostics programme immo L'Etang la ville-31.jpeg,8485,5383407,8584786,0.22271714396848719,0.3551615212263634
Diagnostics programme immo L'Etang la ville-32.jpeg,7281,5291613,7580275,0.21891953076304993,0.3136038569061793
Diagnostics programme immo L'Etang la ville-33.jpeg,7481,5055336,7541681,0.20914450564876036,0.31200718300537267
Diagnostics programme immo L'Etang la ville-34.jpeg,6692,5017819,6899731,0.20759238835756064,0.2854490441593649
Diagnostics programme immo L'Etang la ville-35.jpeg,7267,4699233,7211694,0.1944121543480673,0.2983552777738475
Diagnostics programme immo L'Etang la ville-36.jpeg,8040,5910031,8351972,0.24450412630611476,0.3455297640220726
Diagnostics programme immo L'Etang la ville-37.jpeg,7433,5024785,7393796,0.20788057901914064,0.3058890268199348
Diagnostics programme immo L'Etang la ville-38.jpeg,7883,5701744,8296717,0.23588707658912988,0.3432438072311447
Diagnostics programme immo L'Etang la ville-39.jpeg,7105,6137609,7354575,0.25391926474726556,0.30426641327732357
Diagnostics programme immo L'Etang la ville-4.jpeg,1220,5785514,5669208,0.2393527285731319,0.23454102844598212
Diagnostics programme immo L'Etang la ville-40.jpeg,6281,4115480,6120374,0.17026168589137505,0.2532062348804365
Diagnostics programme immo L'Etang la ville-41.jpeg,6954,5072573,7207372,0.2098576182576686,0.29817647214086607
Diagnostics programme immo L'Etang la ville-5.jpeg,1282,4026074,4402576,0.1665628667284088,0.18213914586510113
Diagnostics programme immo L'Etang la ville-6.jpeg,691,678787,806729,0.028082123830306255,0.03337521737378461
Diagnostics programme immo L'Etang la ville-7.jpeg,856,851412,885891,0.03522379953447651,0.03665023160749077
Diagnostics programme immo L'Etang la ville-8.jpeg,1199,2309111,2625273,0.09553032253110667,0.1086102731407048
Diagnostics programme immo L'Etang la ville-9.jpeg,859,801636,929651,0.033164514669301835,0.03846062829866813
immobilier Upside L'atelier  2-0.jpeg,2329,6922676,7231735,0.2863983026620857,0.29918439477768405
immobilier Upside L'atelier  2-1.jpeg,1883,546686,806838,0.02261696813329484,0.03337972681709673
immobilier Upside L'atelier  2-2.jpeg,4719,2286132,2905479,0.09457965741304077,0.12020268665185749
immobilier Upside L'atelier  2-3.jpeg,1700,6110496,6369158,0.2527975717516556,0.263498687586512
immobilier Upside L'atelier  2-4.jpeg,1623,8111806,8660627,0.3355938469349314,0.3582991422376884
immobilier Upside L'atelier  2-5.jpeg,3027,1404510,1861795,0.05810603877343473,0.07702439459896114
immobilier Upside L'atelier  2-6.jpeg,3068,1816137,2346128,0.07513547567469753,0.09706175430252606
immobilier Upside L'atelier  2-7.jpeg,2626,2118891,2824525,0.08766072338586545,0.11685353551525851
immobilier Upside L'atelier  2-8.jpeg,1923,1963277,2483809,0.08122281043566269,0.10275776040028632
immobilier Upside L'atelier -0.jpeg,815,6933,3781015,0.00028682541727451067,0.15642452114469696
immobilier Upside L'atelier -1.jpeg,2329,6922676,7231735,0.2863983026620857,0.29918439477768405
immobilier Upside L'atelier -10.jpeg,2626,2118891,2824525,0.08766072338586545,0.11685353551525851
immobilier Upside L'atelier -11.jpeg,1923,1963277,2483809,0.08122281043566269,0.10275776040028632
immobilier Upside L'atelier -12.jpeg,526,6499717,6811525,0.2689000491405208,0.28179987024387154
immobilier Upside L'atelier -13.jpeg,439,7931439,7915116,0.328131876642482,0.3274565771637323
immobilier Upside L'atelier -14.jpeg,355,197973,375872,0.008190348814955532,0.015550215381769057
immobilier Upside L'atelier -15.jpeg,169,6952079,7005185,0.28761473533828974,0.28981178576520167
immobilier Upside L'atelier -16.jpeg,277,2450131,2598929,0.1013644665299602,0.10752039447451706
immobilier Upside L'atelier -17.jpeg,0,18189372,0,0.7525132285967547,0.0
immobilier Upside L'atelier -2.jpeg,1883,546686,806838,0.02261696813329484,0.03337972681709673
immobilier Upside L'atelier -3.jpeg,4719,2286132,2905479,0.09457965741304077,0.12020268665185749
immobilier Upside L'atelier -4.jpeg,1700,6110496,6369158,0.2527975717516556,0.263498687586512
immobilier Upside L'atelier -5.jpeg,1623,8111806,8660627,0.3355938469349314,0.3582991422376884
immobilier Upside L'atelier -6.jpeg,1190,3048040,3155683,0.1261005834226741,0.13055388623410927
immobilier Upside L'atelier -7.jpeg,1441,7838088,7963955,0.32426984872844866,0.32947709736483854
immobilier Upside L'atelier -8.jpeg,3027,1404510,1861795,0.05810603877343473,0.07702439459896114
immobilier Upside L'atelier -9.jpeg,3068,1816137,2346128,0.07513547567469753,0.09706175430252606
Risques et pollution Programme immo  Clichy-0.jpeg,3216,3118113,3866741,0.1289995762778128,0.15997109488207972
Risques et pollution Programme immo  Clichy-1.jpeg,1882,5005858,5401747,0.2070975493533748,0.22347588883403088
Risques et pollution Programme immo  Clichy-10.jpeg,5469,6256058,8556607,0.25881962301219397,0.35399572670258167
Risques et pollution Programme immo  Clichy-11.jpeg,1892,2009358,2410732,0.08312922930966049,0.09973448894230717
Risques et pollution Programme immo  Clichy-12.jpeg,836,8684411,8959878,0.3592831110426007,0.37067946719727507
Risques et pollution Programme immo  Clichy-13.jpeg,1108,2099351,2381821,0.08685233327284887,0.09853841081756703
Risques et pollution Programme immo  Clichy-14.jpeg,2768,3793072,5042899,0.15692333176868062,0.20862997402974362
Risques et pollution Programme immo  Clichy-15.jpeg,2477,3413340,4599888,0.14121342417420715,0.19030214842290702
Risques et pollution Programme immo  Clichy-16.jpeg,2116,2884938,3892936,0.11935288412824062,0.16105480926337293
Risques et pollution Programme immo  Clichy-17.jpeg,1914,2637753,3527652,0.10912658371442266,0.14594263044847283
Risques et pollution Programme immo  Clichy-18.jpeg,1187,4355022,4842143,0.18017178744983037,0.20032448961169058
Risques et pollution Programme immo  Clichy-19.jpeg,2622,3602199,4905400,0.14902671733460623,0.20294149746118342
Risques et pollution Programme immo  Clichy-2.jpeg,1292,62742,10767834,0.0025957017641190464,0.4454764863973263
Risques et pollution Programme immo  Clichy-20.jpeg,442,537983,734372,0.022256915975997847,0.03038173306428919
Risques et pollution Programme immo  Clichy-21.jpeg,2082,3213350,4177455,0.13293962997245765,0.172825656068151
Risques et pollution Programme immo  Clichy-22.jpeg,2635,3569774,4822449,0.1476852613768497,0.19950972835858166
Risques et pollution Programme immo  Clichy-23.jpeg,1883,2508107,3405015,0.10376299391953284,0.14086901026986412
Risques et pollution Programme immo  Clichy-24.jpeg,2239,3071851,4128017,0.12708566924565454,0.17078035461434785
Risques et pollution Programme immo  Clichy-25.jpeg,2960,3999927,5394176,0.1654811381570145,0.22316266869351664
Risques et pollution Programme immo  Clichy-26.jpeg,1808,2441900,3287517,0.10102394150333587,0.13600799586355797
Risques et pollution Programme immo  Clichy-27.jpeg,2153,3031098,4049447,0.12539967527043627,0.16752983203606164
Risques et pollution Programme immo  Clichy-28.jpeg,2636,3537932,4781446,0.14636792473515708,0.19781339162347322
Risques et pollution Programme immo  Clichy-29.jpeg,2190,2987482,4022227,0.12359523600895567,0.1664037123392187
Risques et pollution Programme immo  Clichy-3.jpeg,1164,1527432,1819983,0.06319144969831825,0.07529458869284808
Risques et pollution Programme immo  Clichy-30.jpeg,2003,2816932,3831086,0.11653940521187392,0.15849601046654205
Risques et pollution Programme immo  Clichy-31.jpeg,2726,3728726,5011749,0.15426127085710617,0.207341266147427
Risques et pollution Programme immo  Clichy-32.jpeg,1118,1448825,1978142,0.059939396391568284,0.08183779093873288
Risques et pollution Programme immo  Clichy-33.jpeg,2491,3755754,4812328,0.15537944731435346,0.19909101206718757
Risques et pollution Programme immo  Clichy-34.jpeg,2796,3794070,5099519,0.1569646200661622,0.2109724022896719
Risques et pollution Programme immo  Clichy-35.jpeg,2256,3247237,4245104,0.13434157039005196,0.17562436552339453
Risques et pollution Programme immo  Clichy-36.jpeg,596,715990,1004672,0.02962125061508393,0.04156432505755332
Risques et pollution Programme immo  Clichy-37.jpeg,2306,3273880,4267620,0.13544381899706837,0.17655587585014385
Risques et pollution Programme immo  Clichy-38.jpeg,1819,2385539,3262372,0.09869222834265381,0.13496772107380353
Risques et pollution Programme immo  Clichy-39.jpeg,1719,2530321,3305366,0.10468201019233479,0.13674642754867739
Risques et pollution Programme immo  Clichy-4.jpeg,931,838427,1024149,0.034686596585780494,0.04237010879507758
Risques et pollution Programme immo  Clichy-5.jpeg,2131,3169566,3901937,0.13112824037633083,0.16142718999045902
Risques et pollution Programme immo  Clichy-6.jpeg,2200,3030091,3957516,0.12535801463359864,0.16372655099820457
Risques et pollution Programme immo  Clichy-7.jpeg,702,1128942,1416091,0.046705504143764696,0.058585156782587494
Risques et pollution Programme immo  Clichy-8.jpeg,2058,2962976,3138749,0.12258139731348053,0.12985330905018796
Risques et pollution Programme immo  Clichy-9.jpeg,4017,4539714,5906570,0.1878126874883799,0.24436094113819506
Risques et pollution programme immo Argenteuil-0.jpeg,2923,4460623,4753633,0.18454061059848256,0.19666273890017077
Risques et pollution programme immo Argenteuil-1.jpeg,931,7657078,7755474,0.31678127685756174,0.3208520216661789
Risques et pollution programme immo Argenteuil-10.jpeg,912,481478,617540,0.019919245385619046,0.025548271770330495
Risques et pollution programme immo Argenteuil-11.jpeg,4362,2021101,2368326,0.08361504942722209,0.09798010863869505
Risques et pollution programme immo Argenteuil-12.jpeg,3845,1653179,1821116,0.0683937338099608,0.07534146208067038
Risques et pollution programme immo Argenteuil-13.jpeg,2274,1040957,1296985,0.04306547322801425,0.05365761774466771
Risques et pollution programme immo Argenteuil-14.jpeg,2630,2423605,3068283,0.10026705833457239,0.12693805737650185
Risques et pollution programme immo Argenteuil-15.jpeg,2545,2451464,3234929,0.10141961412569465,0.13383237563513853
Risques et pollution programme immo Argenteuil-2.jpeg,2147,5365346,5075156,0.22196994162298092,0.20996447965285395
Risques et pollution programme immo Argenteuil-3.jpeg,938,7322007,7448421,0.30291904126090985,0.3081489198559394
Risques et pollution programme immo Argenteuil-4.jpeg,2801,8761774,8824097,0.36248369877613706,0.36506206607468017
Risques et pollution programme immo Argenteuil-5.jpeg,3794,12942112,13490848,0.5354286275513417,0.558130406315736
Risques et pollution programme immo Argenteuil-6.jpeg,1039,2336086,2277578,0.09664630632325726,0.09422576954063831
Risques et pollution programme immo Argenteuil-7.jpeg,3161,1697195,2017902,0.07021472148726571,0.08348270347166734
Risques et pollution programme immo Argenteuil-8.jpeg,4368,2214578,2836118,0.0916193940483126,0.117333149976886
Risques et pollution programme immo Argenteuil-9.jpeg,1936,5990301,6198517,0.2478249796516542,0.25643909202483023
Risques et pollution programme immo Gardenia (1)-0.jpeg,2636,3277346,5068996,0.13558721102018584,0.20970963404915988
Risques et pollution programme immo Gardenia (1)-1.jpeg,1718,684726,918652,0.028327826434257405,0.03800558823453971
Risques et pollution programme immo Gardenia (1)-2.jpeg,4929,3054511,3270359,0.12636829541967154,0.13529815156677505
Risques et pollution programme immo Gardenia (1)-5.jpeg,4379,2752602,3065870,0.11387800623693244,0.12683822905804182
Risques et pollution programme immo Gardenia (1)-6.jpeg,3114,1701459,1928020,0.07039112759995264,0.0797641916938702
Risques et pollution programme immo Gardenia (1)-7.jpeg,2484,2855346,3457238,0.11812863232555963,0.1430295300688439
Risques et pollution programme immo Gardenia (1)-8.jpeg,2451,2486010,3251034,0.10284881805835948,0.13449865622726404
Risques et pollution programme immo Gardenia-0.jpeg,2636,3277346,5068996,0.13558721102018584,0.20970963404915988
Risques et pollution programme immo Gardenia-1.jpeg,1718,684726,918652,0.028327826434257405,0.03800558823453971
Risques et pollution programme immo Gardenia-2.jpeg,4929,3054511,3270359,0.12636829541967154,0.13529815156677505
Risques et pollution programme immo Gardenia-3.jpeg,1461,6480076,7098935,0.2680874805525086,0.2936903207240197
Risques et pollution programme immo Gardenia-4.jpeg,1470,7115678,7186844,0.2943829960393849,0.2973272074407635
Risques et pollution programme immo Gardenia-5.jpeg,4379,2752602,3065870,0.11387800623693244,0.12683822905804182
Risques et pollution programme immo Gardenia-6.jpeg,3114,1701459,1928020,0.07039112759995264,0.0797641916938702
Risques et pollution programme immo Gardenia-7.jpeg,2484,2855346,3457238,0.11812863232555963,0.1430295300688439
Risques et pollution programme immo Gardenia-8.jpeg,2451,2486010,3251034,0.10284881805835948,0.13449865622726404
Suite programme Gardenia.jpeg,3199,3162538,4072283,0.13083748471029805,0.16847458109547037
